"YR","PROGRAM","STATE","ID","REP","HT_Clay Center","HT_Lincoln","HT_Sidney","TW_Clay Center","TW_Lincoln","TW_Sidney","YLD_Clay Center","YLD_Lincoln","YLD_Sidney"
2014,"University of Nebraska"," NE","HW_98",1,78,86.0044,74,NA,788,793,3632,5515,5024
2014,"University of Nebraska"," NE","NE06545",1,82,89.9922,74,NA,753,786,3961,4997,4519
2014,"University of Nebraska"," NE","NE12568",1,82,86.0044,80,NA,805,771,2340,4506,2798
2014,"University of Nebraska"," NE","NE12571",1,88,94.0054,86,NA,800,811,3551,5172,4573
2014,"University of Nebraska"," NE","NE13407",1,72,75.9968,76,NA,786,797,3208,4553,4634
2014,"University of Nebraska"," NE","NE13412",1,76,96.012,86,NA,810,802,2313,4378,4344
2014,"University of Nebraska"," NE","NE13417",1,80,88.011,84,NA,795,819,2932,3396,3484
2014,"University of Nebraska"," NE","NE13441",1,90,88.011,86,NA,784,813,4143,4613,4943
2014,"University of Nebraska"," NE","NE13449",1,76,73.9902,84,NA,759,776,3356,4660,4008
2014,"University of Nebraska"," NE","NE13470",1,74,80.01,84,NA,766,812,4667,5246,5629
2014,"University of Nebraska"," NE","NE13498",1,82,97.9932,86,NA,816,851,3147,4486,4580
2014,"University of Nebraska"," NE","NE13510",1,80,81.9912,82,NA,782,790,3941,5064,4331
2014,"University of Nebraska"," NE","NE13522",1,80,89.9922,80,NA,778,780,3060,5319,4075
2014,"University of Nebraska"," NE","NE13556",1,92,86.0044,96,NA,795,812,2919,5246,4781
2014,"University of Nebraska"," NE","NE13571",1,84,96.012,80,NA,769,790,3107,4748,4243
2014,"University of Nebraska"," NE","NE13589",1,82,94.0054,80,NA,788,792,3948,5017,4714
2014,"University of Nebraska"," NE","NE13593",1,80,88.011,78,NA,787,833,3490,4963,4553
2014,"University of Nebraska"," NE","NE13607",1,82,89.9922,78,NA,767,801,4243,4929,4586
2014,"University of Nebraska"," NE","NE13625",1,90,96.012,80,NA,787,816,3450,5353,4923
2014,"University of Nebraska"," NE","NE13627",1,78,86.0044,86,NA,761,801,3329,4788,5689
2014,"University of Nebraska"," NE","NE13628",1,84,80.01,80,NA,781,822,3329,4096,3753
2014,"University of Nebraska"," NE","NE13630",1,72,89.9922,88,NA,739,777,2831,5380,4802
2014,"University of Nebraska"," NE","NE13637",1,78,91.9988,80,NA,752,798,2818,4694,4546
2014,"University of Nebraska"," NE","NE13638",1,84,81.9912,80,NA,745,797,3692,4196,5400
2014,"University of Nebraska"," NE","NE13639",1,82,100.9904,82,NA,786,784,3544,5757,4479
2014,"University of Nebraska"," NE","NE13655",1,94,108.0008,100,NA,675,795,1782,1574,4620
2014,"University of Nebraska"," NE","NE13660",1,90,89.9922,84,NA,720,813,3605,3504,5427
2014,"University of Nebraska"," NE","NE13680",1,94,113.9952,90,NA,790,795,3114,5172,4936
2014,"University of Nebraska"," NE","NE13695",1,94,110.0074,84,NA,775,799,3289,4129,4425
2014,"University of Nebraska"," NE","NE13697",1,86,97.9932,82,NA,729,817,4539,4391,4640
2014,"University of Nebraska"," NE","NE13698",1,84,91.9988,82,NA,778,750,4452,3544,5400
2014,"University of Nebraska"," NE","NE13700",1,88,97.9932,62,NA,773,736,3477,4284,3773
2014,"University of Nebraska"," NE","NH13415",1,84,80.01,82,NA,802,828,4089,2764,4882
2014,"University of Nebraska"," NE","NH13606",1,76,86.0044,82,NA,758,780,3665,3954,5098
2014,"University of Nebraska"," NE","NH13692",1,98,110.0074,96,NA,723,806,4506,3161,5535
2014,"University of Nebraska"," NE","NH13693",1,90,102.997,96,NA,721,790,3369,3867,5750
2014,"University of Nebraska"," NE","NW13455",1,82,88.011,78,NA,782,793,3887,4929,3611
2014,"University of Nebraska"," NE","NW13457",1,80,91.9988,80,NA,803,817,3383,4210,4405
2014,"University of Nebraska"," NE","NW13499",1,90,102.0064,90,NA,793,826,3813,4479,5246
2014,"University of Nebraska"," NE","NW13502",1,84,88.011,86,NA,792,816,3753,5151,5030
2014,"University of Nebraska"," NE","NW13516",1,74,80.01,82,NA,762,781,3248,4687,5548
2014,"University of Nebraska"," NE","NW13526",1,80,88.011,76,NA,778,808,3759,5030,3948
2014,"University of Nebraska"," NE","NW13536",1,70,89.9922,66,NA,751,794,4089,4344,3880
2014,"University of Nebraska"," NE","NW13559",1,80,86.0044,78,NA,758,785,4365,4950,4243
2014,"University of Nebraska"," NE","NW13563",1,70,80.01,84,NA,760,802,3329,4405,5071
2014,"University of Nebraska"," NE","NW13572",1,92,99.9998,90,NA,789,831,3806,4654,5205
2014,"University of Nebraska"," NE","NW13575",1,84,99.0092,84,NA,785,826,3188,4694,5710
2014,"University of Nebraska"," NE","NW13596",1,90,96.012,81,NA,767,792,3652,4075,4586
2014,"University of Nebraska"," NE","NW13615",1,82,86.0044,78,NA,747,781,3423,4714,4950
2014,"University of Nebraska"," NE","NW13652",1,92,84.9884,81,NA,785,799,3847,4694,3692
2014,"University of Nebraska"," NE","NW13666",1,60,75.9968,60,NA,722,801,3847,3369,4667
2014,"University of Nebraska"," NE","NW13669",1,84,89.9922,84,NA,768,804,4250,3006,4324
2014,"University of Nebraska"," NE","TX1112_10",1,74,96.012,76,NA,810,829,3652,3167,4062
2014,"University of Nebraska"," NE","TX1112_105",1,82,91.9988,76,NA,778,808,2959,4674,4022
2014,"University of Nebraska"," NE","TX1112_108",1,80,83.9978,72,NA,796,793,2912,4634,3934
2014,"University of Nebraska"," NE","TX1112_11",1,74,89.9922,72,NA,791,825,3188,4385,4223
2014,"University of Nebraska"," NE","TX1112_111",1,84,86.0044,82,NA,724,777,3188,3517,4512
2014,"University of Nebraska"," NE","TX1112_112",1,80,80.01,80,NA,818,816,3073,4163,3981
2014,"University of Nebraska"," NE","TX1112_113",1,74,83.9978,64,NA,795,803,3510,4512,2811
2014,"University of Nebraska"," NE","TX1112_115",1,80,81.9912,70,NA,766,820,3537,4042,3679
2014,"University of Nebraska"," NE","TX1112_119",1,82,83.9978,76,NA,811,817,3201,4385,3625
2014,"University of Nebraska"," NE","TX1112_122",1,80,81.9912,80,NA,794,806,3221,5017,5071
2014,"University of Nebraska"," NE","TX1112_123",1,82,78.0034,74,NA,797,790,3389,3981,3067
2014,"University of Nebraska"," NE","TX1112_124",1,70,86.0044,74,NA,792,795,3363,4761,3356
2014,"University of Nebraska"," NE","TX1112_46",1,70,89.9922,66,NA,785,750,3161,4048,3255
2014,"University of Nebraska"," NE","TX1112_48",1,82,94.0054,70,NA,786,793,3995,4512,3423
2014,"University of Nebraska"," NE","TX1112_52",1,76,96.012,74,NA,771,821,3833,4163,4842
2014,"University of Nebraska"," NE","TX1112_63",1,76,80.01,78,NA,796,768,3497,4022,4210
2014,"University of Nebraska"," NE","TX1112_65",1,82,73.9902,74,NA,789,804,3383,4929,4176
2014,"University of Nebraska"," NE","TX1112_67",1,88,81.9912,76,NA,811,848,3228,2132,4331
2014,"University of Nebraska"," NE","TX1112_69",1,84,83.9978,78,NA,786,771,3073,4385,3968
2014,"University of Nebraska"," NE","TX1112_87",1,74,89.9922,70,NA,799,808,3356,4385,3369
2014,"University of Nebraska"," NE","11_26",2,77,94.996,84,NA,799,806,2360,5192,4365
2014,"University of Nebraska"," NE","11_73",2,82,102.0064,88,NA,788,776,3134,5279,4667
2014,"University of Nebraska"," NE","13_13",2,80,88.011,74,NA,762,752,3403,4257,3006
2014,"University of Nebraska"," NE","13_59",2,72,94.0054,80,NA,729,784,3167,4486,3699
2014,"University of Nebraska"," NE","14_10",2,80,86.0044,80,NA,NA,813,3638,4849,4842
2014,"University of Nebraska"," NE","14_2",2,82,94.0054,82,NA,798,813,3531,5588,4512
2014,"University of Nebraska"," NE","14_22",2,80,89.0016,78,NA,754,773,3033,4122,3961
2014,"University of Nebraska"," NE","14_23",2,80,94.0054,80,NA,756,773,3544,4701,5151
2014,"University of Nebraska"," NE","14_31",2,70,88.011,83,NA,780,808,3322,5024,4008
2014,"University of Nebraska"," NE","14_65",2,85,92.9894,86,NA,788,813,4028,4842,4573
2014,"University of Nebraska"," NE","14_66",2,83,80.01,82,NA,786,806,3497,4553,2912
2014,"University of Nebraska"," NE","14_71",2,80,91.0082,81,NA,800,803,3887,5441,4788
2014,"University of Nebraska"," NE","14_83",2,80,94.0054,85,NA,790,838,3934,5172,5084
2014,"University of Nebraska"," NE","14_88",2,84,91.0082,80,NA,811,786,3490,5050,3894
