TRAIT,LOC,ID,BLUEs
Yield,Clay Center,NW13499,50.98521032881285
Yield,Clay Center,NW13502,47.80900566532857
Yield,Clay Center,NW13516,46.67545558258768
Yield,Clay Center,NW13526,47.420693731853156
Yield,Clay Center,NW13536,53.866432308779594
Yield,Clay Center,NW13559,55.648895167590865
Yield,Clay Center,NW13563,46.897459462873556
Yield,Clay Center,NW13572,51.267913584490216
Yield,Clay Center,NW13575,47.636575697613296
Yield,Clay Center,NW13596,50.508817855193215
Yield,Clay Center,NW13615,45.60296085370081
Yield,Clay Center,NW13652,47.78132902721266
Yield,Clay Center,NW13666,45.169359821870245
Yield,Clay Center,NW13669,54.02359989157668
Yield,Clay Center,TX1112_10,45.726882139341136
Yield,Clay Center,TX1112_105,42.45194374660743
Yield,Clay Center,TX1112_108,40.401373760516954
Yield,Clay Center,TX1112_11,44.456990894837375
Yield,Clay Center,TX1112_111,42.078337231476745
Yield,Clay Center,TX1112_112,41.2467240371409
Yield,Clay Center,TX1112_113,43.534035060626266
Yield,Clay Center,TX1112_115,48.31271814742115
Yield,Clay Center,TX1112_119,44.010157899539244
Yield,Clay Center,TX1112_122,49.13464106204803
Yield,Clay Center,TX1112_123,46.9340622031018
Yield,Clay Center,TX1112_124,46.23700942973423
Yield,Clay Center,TX1112_46,42.07437462278972
Yield,Clay Center,TX1112_48,51.48463203689035
Yield,Clay Center,TX1112_52,53.43553142085749
Yield,Clay Center,TX1112_63,46.422965597303104
Yield,Clay Center,TX1112_65,47.072156582442844
Yield,Clay Center,TX1112_67,44.980779109353826
Yield,Clay Center,TX1112_69,39.59651006317982
Yield,Clay Center,TX1112_87,48.127525782371876
Yield,Lincoln,11_26,58.835026566794745
Yield,Lincoln,11_73,60.95845750576813
Yield,Lincoln,13_13,50.323197341199034
Yield,Lincoln,13_59,56.7955472078749
Yield,Lincoln,14_10,63.25865590510729
Yield,Lincoln,14_2,72.70724659049097
Yield,Lincoln,14_22,59.06984200825683
Yield,Lincoln,14_23,56.807777932856354
Yield,Lincoln,14_31,63.840008637630746
Yield,Lincoln,14_65,60.961176525562394
Yield,Lincoln,14_66,54.7079261286931
Yield,Lincoln,14_71,67.99038412918361
Yield,Lincoln,14_83,67.59224581548702
Yield,Lincoln,14_88,66.13602891660217
Yield,Lincoln,15_18,57.7079265131002
Yield,Lincoln,15_44,64.28677210596246
Yield,Lincoln,4_12,51.5299594345899
Yield,Lincoln,4_19,57.29358801783409
Yield,Lincoln,7_101,65.17206750459405
Yield,Lincoln,7_105,62.61572671592095
Yield,Lincoln,7_11,59.2461458092776
Yield,Lincoln,7_140,62.22864435210066
Yield,Lincoln,7_29,62.320658453094346
Yield,Lincoln,7_45,61.41861551870795
Yield,Lincoln,7_55,59.634729736616094
Yield,Lincoln,7_61,55.91770126405436
Yield,Lincoln,7_86,58.64462009756701
Yield,Lincoln,7_9,53.168780927928466
Yield,Lincoln,CO11D1111,59.536800161492785
Yield,Lincoln,CO11D1119,46.202628850644714
Yield,Lincoln,CO11D1125,54.40968025978993
Yield,Lincoln,CO11D1127,56.69388264491096
Yield,Lincoln,CO11D1140,48.28134812707968
Yield,Lincoln,CO11D1156,55.918717174462934
Yield,Lincoln,CO11D1159,54.683400830398526
Yield,Lincoln,CO11D1174,54.90971377483221
Yield,Lincoln,CO11D1182,60.724617360625615
Yield,Lincoln,CO11D1186,56.04299296487979
Yield,Lincoln,CO11D1190,59.44576209802787
Yield,Lincoln,CO11D1213,58.878530134751614
Yield,Lincoln,CO11D1219,49.89034275314151
Yield,Lincoln,CO11D1221,54.88906611063204
Yield,Lincoln,CO11D1231,58.82064144726112
Yield,Lincoln,CO11D1236,66.14068877992437
Yield,Lincoln,CO11D1240,60.485608693656694
Yield,Lincoln,CO11D1248,67.23344234897581
Yield,Lincoln,CO11D1268,68.35422266394015
Yield,Lincoln,CO11D1287,62.83205450458015
Yield,Lincoln,CO11D1298,59.68661475337628
Yield,Lincoln,CO11D1302W,60.71602704114856
Yield,Lincoln,CO11D1312,69.6878646247351
Yield,Lincoln,CO11D1315W,50.21502841009599
Yield,Lincoln,CO11D1316W,51.36689786326926
Yield,Lincoln,CO11D1322,54.26065604880032
Yield,Lincoln,CO11D1341,69.84131824573822
Yield,Lincoln,CO11D1353,62.10114341993527
Yield,Lincoln,CO11D1371,67.48700803598867
Yield,Lincoln,CO11D1380,57.41066125768216
Yield,Lincoln,CO11D1397,61.13154347875182
Yield,Lincoln,CO11D1409,63.347777478954576
Yield,Lincoln,CO11D1414,52.02032838313999
Yield,Lincoln,CO11D1418,61.58016166617836
Yield,Lincoln,CO11D1431,61.870653479138994
Yield,Lincoln,CO11D1539,65.29115019544071
Yield,Lincoln,CO11D1542,58.61468993145815
Yield,Lincoln,CO11D1543,59.997611821345224
Yield,Lincoln,CO11D1545,62.70269508494581
Yield,Lincoln,CO11D1555W,54.813788924562495
Yield,Lincoln,CO11D1559,50.198770935411694
Yield,Lincoln,CO11D1584,49.8078516060119
Yield,Lincoln,CO11D1600W,57.25015874378196
Yield,Lincoln,CO11D1615,51.51256995639068
Yield,Lincoln,CO11D1620,53.053848222429735
Yield,Lincoln,CO11D1631,53.9490504252065
Yield,Lincoln,CO11D1633,47.50904633947896
Yield,Lincoln,CO11D1642,56.42157899057452
Yield,Lincoln,CO11D1644,56.230297542097276
Yield,Lincoln,CO11D1645,53.81263019342778
Yield,Lincoln,CO11D1647,63.85511288378349
Yield,Lincoln,CO11D1654,62.30746309115116
Yield,Lincoln,CO11D1656,51.26487368020439
Yield,Lincoln,CO11D1657,57.74494868816568
Yield,Lincoln,CO11D1665,60.75482309493034
Yield,Lincoln,CO11D1686,54.0259219811624
Yield,Lincoln,CO11D1715,59.96977143465073
Yield,Lincoln,CO11D1731,45.707829357049405
Yield,Lincoln,CO11D1746,59.064485406521015
Yield,Lincoln,CO11D1758W,47.193949404680026
Yield,Lincoln,CO11D1767,58.64076230878704
Yield,Lincoln,CO11D1789,46.76143812574741
Yield,Lincoln,CO11D1799,60.64920783011073
Yield,Lincoln,CT103,52.16474944072396
Yield,Lincoln,CT110,36.65758151609951
Yield,Lincoln,CT111,49.05185298619121
Yield,Lincoln,CT112,29.324397623872024
Yield,Lincoln,CT115,49.079816712714006
Yield,Lincoln,CT125,40.199108048660634
Yield,Lincoln,CT135,47.7954948445973
Yield,Lincoln,CT154,34.5404713250861
Yield,Lincoln,CT163,32.8758492289512
Yield,Lincoln,CT185,51.99702504590175
Yield,Lincoln,CT194,55.29356748377374
Yield,Lincoln,CT199,49.108830131367334
Yield,Lincoln,CT213,58.91640863362003
Yield,Lincoln,CT224,40.50077995076641
Yield,Lincoln,CT237,45.103360910969805
Yield,Lincoln,CT30,32.586810136366466
Yield,Lincoln,CT38,48.60058705044682
Yield,Lincoln,CT64,51.290474371645885
Yield,Lincoln,CT69,50.92496623353199
Yield,Lincoln,CT95,54.87082376884043
Yield,Lincoln,GOODSYN12,52.56973035094263
Yield,Lincoln,GOODSYN17,51.3157417958379
Yield,Lincoln,GOODSYN23,55.89422554845982
Yield,Lincoln,GOODSYN28,54.800464189568295
Yield,Lincoln,GOODSYN35,57.60356171443646
Yield,Lincoln,GOODSYN37,37.82338207465333
Yield,Lincoln,GOODSYN43,55.08502180408872
Yield,Lincoln,GOODSYN44,52.864329073363066
Yield,Lincoln,GOODSYN5,49.40921424469381
Yield,Lincoln,GOODSYN51,53.498791489791955
Yield,Lincoln,GOODSYN58,56.71641613094115
Yield,Lincoln,GOODSYN61,47.96970731098317
Yield,Lincoln,GOODSYN62,49.23231930475955
Yield,Lincoln,GOODSYN72,54.07512053942927
Yield,Lincoln,GOODSYN8,56.97580185403212
Yield,Lincoln,GOODSYN80,52.72925817380283
Yield,Lincoln,GOODSYN82,55.686714567074226
Yield,Lincoln,GOODSYN88,55.8769999759124
Yield,Lincoln,HW_124,59.26777340218752
Yield,Lincoln,HW_132,48.56677651181037
Yield,Lincoln,HW_133,50.478627947369915
Yield,Lincoln,HW_141,52.58770156219371
Yield,Lincoln,HW_155,54.4324964029384
Yield,Lincoln,HW_174,56.46839778748486
Yield,Lincoln,HW_175,53.67030647246969
Yield,Lincoln,HW_182,57.71043312924125
Yield,Lincoln,HW_237,59.6847085534531
Yield,Lincoln,HW_240,55.531790995404
Yield,Lincoln,HW_246,52.30122072998132
Yield,Lincoln,HW_256,59.50107676815285
Yield,Lincoln,HW_261,53.767545876518525
Yield,Lincoln,HW_266,60.52901884137028
Yield,Lincoln,HW_267,50.34889686188647
